number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,user_attrs_best_val_auc,user_attrs_seed,state
62,0.5517246127128601,2026-03-10 14:39:58.088859,2026-03-10 14:40:03.800749,0 days 00:00:05.711890,64,False,0.2738784072704051,64,0.0009686570936841541,2,0.0005315413543910506,0.7709677419354839,104,COMPLETE
63,0.5164790153503418,2026-03-10 14:40:03.800749,2026-03-10 14:40:15.687115,0 days 00:00:11.886366,64,True,0.4492563929839516,192,0.0013715203916693217,3,0.00017156598558533168,0.7774193548387096,105,COMPLETE
64,0.564937174320221,2026-03-10 14:40:15.687115,2026-03-10 14:40:21.348644,0 days 00:00:05.661529,64,False,0.5017369443894314,128,0.0007910491353877705,2,2.4637787258007148e-05,0.8096774193548388,106,COMPLETE
65,0.594955563545227,2026-03-10 14:40:21.348644,2026-03-10 14:40:27.470440,0 days 00:00:06.121796,64,True,0.4760621664404544,96,0.0009307467456440796,2,0.00023168967613596456,0.8241935483870968,107,COMPLETE
66,0.5728290677070618,2026-03-10 14:40:27.470440,2026-03-10 14:40:34.309489,0 days 00:00:06.839049,64,False,0.24274341688507553,192,0.0012201964356586643,2,2.938598557546994e-05,0.7451612903225806,108,COMPLETE
67,0.6170744895935059,2026-03-10 14:40:34.309489,2026-03-10 14:40:40.064295,0 days 00:00:05.754806,64,False,0.22356700571008564,64,0.0005104466230473488,3,0.000363483100240134,0.7354838709677418,109,COMPLETE
68,0.7050166055560112,2026-03-10 14:40:40.064295,2026-03-10 14:40:55.026689,0 days 00:00:14.962394,16,True,0.27981585691176236,192,0.0010472175243081412,2,1.1727391610512613e-05,0.7919354838709678,110,COMPLETE
69,0.5927790403366089,2026-03-10 14:40:55.026689,2026-03-10 14:41:00.814876,0 days 00:00:05.788187,64,False,0.4170926085610401,64,0.0006402966755484695,3,0.0007403302559332413,0.8451612903225806,111,COMPLETE
70,0.6849014163017273,2026-03-10 14:41:00.814876,2026-03-10 14:41:07.914264,0 days 00:00:07.099388,32,True,0.5376345491048444,96,0.0005489716692740104,2,3.8329902141101004e-05,0.7274193548387097,112,COMPLETE
71,0.5591787695884705,2026-03-10 14:41:07.914264,2026-03-10 14:41:14.743188,0 days 00:00:06.828924,64,False,0.5154786964595433,192,0.0011389283620234117,2,1.9747456974277703e-05,0.7870967741935484,113,COMPLETE
72,0.4871002733707428,2026-03-10 14:41:14.743188,2026-03-10 14:41:23.100133,0 days 00:00:08.356945,64,False,0.5128864445590218,192,0.001189294012815695,2,3.061742236968961e-05,0.7951612903225808,114,COMPLETE
73,0.5115271210670471,2026-03-10 14:41:23.100133,2026-03-10 14:41:29.805782,0 days 00:00:06.705649,64,False,0.32522966433551104,192,0.0013190391576037603,2,4.041321261262115e-05,0.8064516129032258,115,COMPLETE
74,0.5726383924484253,2026-03-10 14:41:29.805782,2026-03-10 14:41:36.561410,0 days 00:00:06.755628,64,False,0.4489288152749524,192,0.001087799013339738,2,3.0455951507680026e-05,0.7935483870967742,116,COMPLETE
75,0.54817795753479,2026-03-10 14:41:36.561410,2026-03-10 14:41:43.343441,0 days 00:00:06.782031,64,False,0.4830413631854505,192,0.0011796548330976053,2,5.163683588472035e-05,0.782258064516129,117,COMPLETE
76,0.44101619720458984,2026-03-10 14:41:43.343441,2026-03-10 14:41:50.015745,0 days 00:00:06.672304,64,False,0.5551983293428012,192,0.0014295300288694156,2,6.021084076467786e-05,0.8612903225806452,118,COMPLETE
77,0.5274036526679993,2026-03-10 14:41:50.017749,2026-03-10 14:41:57.028518,0 days 00:00:07.010769,64,False,0.5916052802601679,256,0.001494909690707425,2,6.513291408663647e-05,0.7774193548387097,119,COMPLETE
78,0.5026335716247559,2026-03-10 14:41:57.028518,2026-03-10 14:42:03.750894,0 days 00:00:06.722376,64,False,0.57871233283758,192,0.001409018503717969,2,8.903975208504364e-05,0.7741935483870969,120,COMPLETE
