number,value,datetime_start,datetime_complete,duration,params_batch_size,params_bidirectional,params_dropout_fc,params_hidden_size,params_lr,params_num_layers,params_weight_decay,state
27,0.3838992714881897,2025-11-16 00:27:20.044242,2025-11-16 00:27:39.794393,0 days 00:00:19.750151,64,True,0.46550055108442995,256,0.0008025728824866546,2,0.0005617838381631868,COMPLETE
28,0.4301636815071106,2025-11-16 00:27:39.794393,2025-11-16 00:27:47.697987,0 days 00:00:07.903594,64,True,0.41468372698020134,128,0.0008638780234988392,2,0.00037294881685860984,COMPLETE
29,0.5372300148010254,2025-11-16 00:27:47.698987,2025-11-16 00:27:48.931338,0 days 00:00:01.232351,64,False,0.5065820414190201,96,0.0010136454710604414,1,0.0002523664203405275,PRUNED
30,0.5095059275627136,2025-11-16 00:27:48.931338,2025-11-16 00:28:32.350958,0 days 00:00:43.419620,64,True,0.42938620638188707,192,0.0005012685260918529,3,0.000719845620279681,COMPLETE
31,0.3275110125541687,2025-11-16 00:28:32.350958,2025-11-16 00:28:52.109560,0 days 00:00:19.758602,64,True,0.5280536553759307,256,0.0006647858560916576,2,0.00025986110116310004,COMPLETE
32,0.30077654123306274,2025-11-16 00:28:52.109560,2025-11-16 00:29:11.784470,0 days 00:00:19.674910,64,True,0.5674785200021029,256,0.000554627025308216,2,0.00041879723173536386,COMPLETE
33,0.2915765345096588,2025-11-16 00:29:11.784470,2025-11-16 00:29:31.633961,0 days 00:00:19.849491,64,True,0.5644680209236808,256,0.0005583073758497949,2,0.000439944379053772,COMPLETE
34,0.32212764024734497,2025-11-16 00:29:31.635192,2025-11-16 00:29:51.384259,0 days 00:00:19.749067,64,True,0.5733967031690972,256,0.0005653471751293143,2,0.0003772995729983831,COMPLETE
35,0.31992053985595703,2025-11-16 00:29:51.384259,2025-11-16 00:30:11.200777,0 days 00:00:19.816518,64,True,0.569281877251669,256,0.0005583447843265615,2,0.00045583659327836105,COMPLETE
36,0.39691151678562164,2025-11-16 00:30:11.200777,2025-11-16 00:30:28.801854,0 days 00:00:17.601077,32,True,0.5940600130719907,256,0.0007695623812253923,1,0.0007069793129952333,COMPLETE
